Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Urate levels (UKB data field 30880),293,293,0,0,293,0
Eczema,292,292,0,0,292,0
Alzheimer disease and age of onset,292,292,0,0,292,0
Triglycerides in small VLDL,291,32,259,0,291,259
Spherical equivalent,291,251,40,0,291,40
Triglycerides to Total Lipids in Medium HDL percentage,290,33,257,0,290,257
Cerebellar grey matter morphology (MOSTest),288,288,0,0,288,0
Sex hormone-binding globulin levels and heel estimated bone mineral density,288,288,0,0,288,0
Apolipoprotein A levels (UKB data field 30630),287,287,0,0,287,0
Parkinson's disease,287,285,1,1,286,2
Concentration of HDL particles,286,61,225,0,286,225
"eosinophil (absolute count, mean, inv-norm transformed)",286,286,0,0,286,0
Immature reticulocyte fraction (UKB data field 30280),285,285,0,0,285,0
"mean platelet volume (MPV, minimum, inv-norm transformed)",284,284,0,0,284,0
Liver enzyme levels (gamma-glutamyl transferase),284,201,83,0,284,83
Well-being spectrum (multivariate analysis),284,284,0,0,284,0
Cholesterol in Medium HDL,283,41,242,0,283,242
"eosinophil (fraction, maximum, inv-norm transformed)",282,282,0,0,282,0
Total triglycerides levels,280,56,224,0,280,224
Free cholesterol in medium HDL,280,31,249,0,280,249
"red blood cell count (RBC, mean, inv-norm transformed)",280,280,0,0,280,0
Glycine levels,278,96,182,0,278,182
"Body mass index (BMI, maximum, inv-normal transformed)",278,278,0,0,278,0
Cholesteryl Esters to Total Lipids in Medium VLDL percentage,277,32,245,0,277,245
Lymphocyte-to-monocyte ratio,277,277,0,0,277,0
Cholesteryl Esters in Medium HDL,276,42,234,0,276,234
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",276,276,0,0,276,0
Aspartate aminotransferase levels (UKB data field 30650),276,276,0,0,276,0
Total Lipids in HDL,275,40,235,0,275,235
Whole brain free water diffusion (multivariate analysis),275,275,0,0,275,0
Cholesterol to Total Lipids in Medium VLDL percentage,275,35,240,0,275,240
"Body mass index (BMI, mean, inv-normal transformed)",274,274,0,0,274,0
Dental caries,274,274,0,0,274,0
Free Cholesterol to Total Lipids in Medium HDL percentage,274,33,241,0,274,241
Household income (MTAG),274,274,0,0,274,0
Trunk fat mass (UKB data field 23128),273,273,0,0,273,0
Triglycerides in very small VLDL,273,26,247,0,273,247
Noncognitive aspects of educational attainment (multivariate analysis),272,272,0,0,272,0
Cholesteryl Esters to Total Lipids in Very Small VLDL percentage,272,29,243,0,272,243
