Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Fasting glucose change (short-term),7,7,0,0,7,0
Response to antidepressants and depression,7,7,0,0,7,0
Age-related hearing impairment (low/mid frequency),7,7,0,0,7,0
Phosphatidylcholine (15:0_20:3) levels,7,7,0,0,7,0
Paralaminar nucleus volume,7,0,7,0,7,7
Fasting insulin z-score (>50th percentile),7,7,0,0,7,0
Fasting insulin z-score (>75th percentile),7,7,0,0,7,0
G_Parasutterella abundance,7,7,0,0,7,0
G_Prevotella abundance,7,7,0,0,7,0
PPIB protein levels,7,7,0,0,7,0
Left-hemisphere default mode network to right-hemisphere control network white-matter structural connectivity,7,0,7,0,7,7
CNPY4/MANF protein level ratio,7,7,0,0,7,0
Tetradecenoylcarnitine levels,7,7,0,0,7,0
Sphingomyelin (d16:1/24:1) levels,7,7,0,0,7,0
Chronic dizziness,7,7,0,0,7,0
Phosphatidylcholine (18:2_20:4) levels,7,7,0,0,7,0
Diacylglycerol (14:0/16:0) (Model 1),7,7,0,0,7,0
Brain rsFMRI measurement (functional connectivity) (Net_Edge_ICA2),7,0,7,0,7,7
Handedness (Left-handed vs. non-left-handed),7,7,0,0,7,0
Tyrosine-protein kinase receptor TYRO3 levels,7,7,0,0,7,0
Circulating WFDC2 levels,7,7,0,0,7,0
Circulating IL6 levels (id: OID00763_OID21276),7,7,0,0,7,0
Lysoalkylphosphatidylcholine (O-18:1) levels,7,7,0,0,7,0
Circulating COMT levels,7,7,0,0,7,0
Drusen (degenerative) of retina (PheCode 362.27),7,7,0,0,7,0
Obstructive heart defect,7,7,0,0,7,0
Response to oxcarbazepine in focal epilepsy,7,7,0,0,7,0
Frozen shoulder,7,7,0,0,7,0
Plasma p-tau181 levels,7,7,0,0,7,0
Obesity in adult survivors of childhood cancer exposed to cranial radiation,7,7,0,0,7,0
Phosphatidylcholines (14:0/20:3) (Model 1),7,7,0,0,7,0
Response to citalopram or escitalopram and depression,7,7,0,0,7,0
Non-response to antidepressants and depression,7,7,0,0,7,0
USP25 protein levels,7,7,0,0,7,0
Sphingomyelin (d19:1/24:1) levels,7,7,0,0,7,0
Hearing difficulty with background noise,7,7,0,0,7,0
VTA1 protein levels,7,7,0,0,7,0
T-cell receptor abundance in colorectal cancer,7,7,0,0,7,0
Mood disorder,7,7,0,0,7,0
"Glycosyl ceramide (d18:1/20:0, d16:1/22:0) levels",7,1,6,0,7,6
OTU99_11 (Parabacteroides) prevalence,7,7,0,0,7,0
Tryptophan levels,7,4,3,0,7,3
Left ventricular end diastole inferoseptal wall thickness,7,7,0,0,7,0
CLEC4D/MMP9 protein level ratio,7,7,0,0,7,0
Left-hemisphere salience/ventral attention network to right-hemisphere salience/ventral attention network white-matter structural connectivity,7,0,7,0,7,7
IDP dMRI TBSS FA Splenium of corpus callosum,7,7,0,0,7,0
IRAK4/TBCB protein level ratio,7,7,0,0,7,0
Lung function in never smokers (low FEV1 vs average FEV1),7,7,0,0,7,0
MCTS1 protein levels,7,7,0,0,7,0
IDP dMRI TBSS L3 Genu of corpus callosum,7,7,0,0,7,0
IDP dMRI TBSS L3 Splenium of corpus callosum,7,7,0,0,7,0
NUDT5/TXNRD1 protein level ratio,7,7,0,0,7,0
Phosphatidylcholine diacyl C34:4 levels,7,7,0,0,7,0
Serum levels of protein CTSH,7,7,0,0,7,0
"Cardiovascular death, myocardial infarction or stroke in response to clopidogrel treatment",7,7,0,0,7,0
Sphingomyelin(42:3)_[M+H]1+ levels,7,0,7,0,7,7
Vein graft stenosis in coronary artery bypass grafting,7,7,0,0,7,0
Circulating PDGFRB levels,7,7,0,0,7,0
Anti-thyroid drug induced agranulocytosis,7,7,0,0,7,0
Brain age gap from gray matter volume,7,7,0,0,7,0
aparc-Desikan lh volume pericalcarine,7,7,0,0,7,0
Psychosis proneness (hypomanic personality scale and perceptual aberration scale),7,7,0,0,7,0
T-Cell Immunoglobulin and Mucin domain 1 levels,7,7,0,0,7,0
Phosphatidylethanolamine-O_40:5_[M-H]1-/Phosphatidylethanolamine-P_40:4_[M-H]1- levels,7,0,7,0,7,7
WFDC1 protein levels,7,7,0,0,7,0
PLPBP protein levels,7,7,0,0,7,0
"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 levels",7,7,0,0,7,0
Type 2 diabetes in childhood cancer survivors,7,7,0,0,7,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 98),7,7,0,0,7,0
Low hand grip strength (60 years and older) (FNIH),7,7,0,0,7,0
Tyrosine-protein kinase ZAP-70 levels,7,7,0,0,7,0
Uronyl 2-sulfotransferase levels,7,7,0,0,7,0
Isobutyrylcarnitine (C4) levels,7,2,5,0,7,5
Circulating BLVRB levels,7,7,0,0,7,0
Sphingomyelin(42:4)_[M+H]1+ levels,7,0,7,0,7,7
CRADD protein levels,7,7,0,0,7,0
Preterm birth (maternal effect),7,7,0,0,7,0
Hypoxanthine levels,7,7,0,0,7,0
Lysophosphatidylcholines (FA20:5) (Model 1),7,7,0,0,7,0
Sunitinib efficacy in metastatic renal cell carcinoma (overall survival),7,7,0,0,7,0
BCR/PLXNA4 protein level ratio,7,7,0,0,7,0
TFF1/TFF2 protein level ratio,7,7,0,0,7,0
Hexokinase-3 levels,7,7,0,0,7,0
Multimerin-2 levels (MMRN2.11895.21.3),7,7,0,0,7,0
Serum levels of protein KDR,7,7,0,0,7,0
Cystatin-F levels (CST7.3302.58.1),7,7,0,0,7,0
Isolated dystonia (age of onset),7,7,0,0,7,0
Cranial vault shape (segment 5),7,7,0,0,7,0
Frontotemporal dementia (MTAG),7,7,0,0,7,0
TestASV_16 (Bacteroides) prevalence,7,7,0,0,7,0
AXIN1/SRPK2 protein level ratio,7,7,0,0,7,0
Phosphatidylcholines (16:0/20:5) (Model 1),7,7,0,0,7,0
Phosphatidylcholine (O-18:0_20:4) levels,7,7,0,0,7,0
R start and S end in voltage difference in lead V5,7,7,0,0,7,0
BANK1/SH2B3 protein level ratio,7,7,0,0,7,0
IDP dMRI TBSS ICVF Posterior thalamic radiation L,7,7,0,0,7,0
IDP dMRI TBSS ICVF Cingulum hippocampus R,7,7,0,0,7,0
Sensation seeking (measured by UPPS at 28 years),7,7,0,0,7,0
HPCAL1/PMVK protein level ratio,7,7,0,0,7,0
Bicuspid aortic valve,7,7,0,0,7,0
MICA-MICB heterodimer protein levels,7,7,0,0,7,0
Response to ondansetron (change in QTc),7,0,7,0,7,7
Facial attractiveness (male raters),7,7,0,0,7,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 60),7,7,0,0,7,0
Phosphatidylinositol(40:6)_[M-H]1- levels,7,0,7,0,7,7
aparc-Desikan rh area lingual,7,7,0,0,7,0
IDP dMRI TBSS ICVF Fornix cres+Stria terminalis R,7,7,0,0,7,0
IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L,7,7,0,0,7,0
Circulating TDRKH levels,7,7,0,0,7,0
IDP dMRI ProbtrackX ICVF atr r,7,7,0,0,7,0
Phosphatidylcholines (18:2/20:4) (Model 1),7,7,0,0,7,0
wg lh intensity-contrast caudalmiddlefrontal,7,7,0,0,7,0
R start and S end in voltage difference in lead II,7,7,0,0,7,0
Pyogenic granuloma (PheCode 686.4),7,7,0,0,7,0
Glycolipid transfer protein domain-containing protein 2 levels,7,7,0,0,7,0
EBAG9/FKBP5 protein level ratio,7,7,0,0,7,0
Phosphatidylglycerol (36:1) levels,7,7,0,0,7,0
Phosphatidylglycerol (36:2) levels,7,7,0,0,7,0
Acylcarnitine (12:0) levels,7,7,0,0,7,0
CTHRC1 protein levels,7,7,0,0,7,0
Phosphatidylcholines (18:1/20:5) (Model 1),7,7,0,0,7,0
ICD10 K25: Gastric and duodenal ulcer,7,7,0,0,7,0
wg lh intensity-contrast lateraloccipital,7,7,0,0,7,0
BANK1/HEXIM1 protein level ratio,7,7,0,0,7,0
Lifetime number of sexual partners or uterine leiomyoma (pleiotropy),7,7,0,0,7,0
HEXIM1/TARBP2 protein level ratio,7,7,0,0,7,0
HSPA1A/STIP1 protein level ratio,7,7,0,0,7,0
Circulating MESD levels,7,7,0,0,7,0
Prostate-associated microseminoprotein levels,7,7,0,0,7,0
FLI1/SH2B3 protein level ratio,7,7,0,0,7,0
Body mass index x age interaction,7,7,0,0,7,0
FKBP5/MAP4K5 protein level ratio,7,7,0,0,7,0
Middle temporal thickness,7,7,0,0,7,0
EBAG9/TBCC protein level ratio,7,7,0,0,7,0
Protein sel-1 homolog 2 levels,7,7,0,0,7,0
Response to varenicline (short-term effectiveness),7,7,0,0,7,0
IDP dMRI TBSS MD Anterior limb of internal capsule L,7,7,0,0,7,0
IDP dMRI TBSS MD Anterior corona radiata R,7,7,0,0,7,0
IDP dMRI TBSS MD Superior corona radiata R,7,7,0,0,7,0
PRKAR2A protein levels,7,7,0,0,7,0
CTF1 protein levels,7,7,0,0,7,0
MANF/PPIB protein level ratio,7,7,0,0,7,0
MANF/MIF protein level ratio,7,7,0,0,7,0
O_Coriobacteriales abundance,7,7,0,0,7,0
O_Selenomonadales abundance,7,7,0,0,7,0
Regenerating islet-derived protein 3-alpha levels,7,7,0,0,7,0
Prostate-specific antigen progression (time to event) in metastatic castration-resistant prostate cancer,7,7,0,0,7,0
CD40LG/SERPINE1 protein level ratio,7,7,0,0,7,0
DRG2 protein levels,7,7,0,0,7,0
Metabolic syndrome cluster 5 (hyperglycemic endotype),7,7,0,0,7,0
Plasma homocysteine levels (post-methionine load test),7,7,0,0,7,0
Intracerebral hemorrhage,7,7,0,0,7,0
RNF41/WWP2 protein level ratio,7,7,0,0,7,0
CA9/CBLIF protein level ratio,7,7,0,0,7,0
CD20 on IgD+ CD24- B cell,7,7,0,0,7,0
Polymeric immunoglobulin receptor levels,7,5,2,0,7,2
Programmed cell death 1 ligand 2 levels,7,6,1,0,7,1
Middle diffusion tensor imaging along the perivascular space index,7,7,0,0,7,0
wg lh intensity-contrast parsorbitalis,7,7,0,0,7,0
Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia,7,4,3,0,7,3
FKBP5/TBCC protein level ratio,7,7,0,0,7,0
AHCY/FABP5 protein level ratio,7,7,0,0,7,0
Gluconate levels,7,6,1,0,7,1
TLR4 interactor with leucine rich repeats levels,7,7,0,0,7,0
Circulating MUC16 levels (id: OID00741_OID21378),7,7,0,0,7,0
Brain shape (segment 62),7,7,0,0,7,0
smoking initiation in schizophrenia,7,7,0,0,7,0
HFM1 protein levels,7,7,0,0,7,0
PKLR protein levels,7,7,0,0,7,0
TWF2 protein levels,7,7,0,0,7,0
10-undecenoate (11:1n1) levels,7,6,1,0,7,1
Diaphragmatic hernia (PheCode 550.2),7,7,0,0,7,0
CD40LG/EGF protein level ratio,7,7,0,0,7,0
Lung function in heavy smokers (low FEV1 vs high FEV1),7,7,0,0,7,0
Brain shape (segment 45),7,7,0,0,7,0
EIF2AK2 protein levels,7,7,0,0,7,0
EIF2AK3 protein levels,7,7,0,0,7,0
IDP dMRI TBSS OD Cerebral peduncle R,7,7,0,0,7,0
G_Alloprevotella prevalence,7,7,0,0,7,0
IDP dMRI TBSS MD Sagittal stratum R,7,7,0,0,7,0
CD300C/MANSC1 protein level ratio,7,7,0,0,7,0
CD300C/NBL1 protein level ratio,7,7,0,0,7,0
CD300C/CLEC14A protein level ratio,7,7,0,0,7,0
CD300C/GOLM2 protein level ratio,7,7,0,0,7,0
Blood Glucose variance level in bendroflumethiazide treated hypertension,7,7,0,0,7,0
Serum urate variance level in bendroflumethiazide treated hypertension,7,7,0,0,7,0
EBAG9 protein levels,7,7,0,0,7,0
G_Alphaproteobacteria prevalence,7,7,0,0,7,0
EGF/GP6 protein level ratio,7,7,0,0,7,0
ICAM-1 levels in metastatic colorectal cancer,7,7,0,0,7,0
TestASV_43 (Parasutterella) prevalence,7,7,0,0,7,0
Gamma-glutamylglutamine levels,7,4,3,0,7,3
X-12244--N-acetylcarnosine levels,7,7,0,0,7,0
Waist-to-hip ratio adjusted for BMI in inactive individuals,7,0,7,0,7,7
Retention of urine (PheCode 599.2),7,7,0,0,7,0
IDP dMRI TBSS L2 Posterior limb of internal capsule R,7,7,0,0,7,0
PDE5A protein levels,7,7,0,0,7,0
X-24328 levels,7,1,6,0,7,6
ADGRE2/IFNGR1 protein level ratio,7,7,0,0,7,0
Circulating IKZF2 levels,7,7,0,0,7,0
Response to platinum-based chemotherapy in non-small-cell lung cancer,7,7,0,0,7,0
GDNF family receptor alpha-like levels,7,7,0,0,7,0
ADGRE5/SEMA7A protein level ratio,7,7,0,0,7,0
Alkenylphosphatidylethanolamine (P-18:1/20:3) (b) levels,7,7,0,0,7,0
C3 protein levels,7,7,0,0,7,0
STAT5B protein levels,7,7,0,0,7,0
Erectile dysfunction [ED] (PheCode 605),7,7,0,0,7,0
CDC37 protein levels,7,7,0,0,7,0
Inosine-5-monophosphate dehydrogenase 2 levels,7,7,0,0,7,0
OTU99_558 (Bacteroidales) prevalence,7,7,0,0,7,0
Ceramides (FA24:1) (Model 2),7,7,0,0,7,0
Lifespan,7,7,0,0,7,0
APOH protein levels,7,7,0,0,7,0
Creutzfeldt-Jakob disease (variant),7,7,0,0,7,0
Diacylglycerol (18:2/20:5) (Model 2),7,7,0,0,7,0
Triacylglycerol 54:5(FA18:1) (Model 1),7,7,0,0,7,0
Triacylglycerol 54:5(FA18:2) (Model 1),7,7,0,0,7,0
Circulating GKN1 levels,7,7,0,0,7,0
Sphingomyelin_42:2_[M+H]1+ levels,7,0,7,0,7,7
"40S ribosomal protein S4, X isoform levels",7,7,0,0,7,0
Effector Memory CD4-CD8- T cell Absolute Count,7,7,0,0,7,0
CD20 on unswitched memory B cell,7,7,0,0,7,0
CD20 on switched memory B cell,7,7,0,0,7,0
CD20 on IgD+ B cell,7,7,0,0,7,0
Phosphatidylcholine diacyl C32:0 levels,7,7,0,0,7,0
CD27/ICAM3 protein level ratio,7,7,0,0,7,0
CD27/TNFRSF13B protein level ratio,7,7,0,0,7,0
F2 protein levels,7,7,0,0,7,0
3-indoleglyoxylic acid levels,7,3,4,0,7,4
Circulating PTPN1 levels,7,7,0,0,7,0
Medial temporal thickness,7,7,0,0,7,0
SUSD1 protein levels,7,7,0,0,7,0
High chromosomal aberration frequency (chromatid type),7,7,0,0,7,0
Neurexophilin-1 levels,7,6,1,0,7,1
Neurogenic locus notch homolog protein 1 levels,7,6,1,0,7,1
Serum levels of protein CCL23,7,7,0,0,7,0
Holo-Transcobalamin-2 levels,7,7,0,0,7,0
Circulating PRTFDC1 levels,7,7,0,0,7,0
Rab9 effector protein with kelch motifs levels,7,7,0,0,7,0
OTU99_8 (Ruminococcaceae) abundance,7,7,0,0,7,0
OTU99_23 (Faecalibacterium) prevalence,7,7,0,0,7,0
CD93/CLEC14A protein level ratio,7,7,0,0,7,0
Bariatric surgery (PheCode 539),7,7,0,0,7,0
4-ethylphenylsulfate levels,7,7,0,0,7,0
DTD1 protein levels,7,7,0,0,7,0
DTX3 protein levels,7,7,0,0,7,0
ENO3 protein levels,7,7,0,0,7,0
Phosphatidylethanolamine (17:0_18:2) levels,7,7,0,0,7,0
Phosphatidylethanolamine (16:1_18:2) levels,7,7,0,0,7,0
Leukocyte immunoglobulin-like receptor subfamily B member 1 levels,7,5,2,0,7,2
Serum amyloid A-4 protein levels,7,7,0,0,7,0
Interleukin-37 levels,7,7,0,0,7,0
NUMB protein levels,7,7,0,0,7,0
NINJ1 protein levels,7,7,0,0,7,0
NENF protein levels,7,7,0,0,7,0
Monocyte percentage of white cells variance,7,7,0,0,7,0
IDP dMRI TBSS MD Cingulum cingulate gyrus R,7,7,0,0,7,0
"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc) (PheCode 794)",7,7,0,0,7,0
Intervertebral disc disorder with myelopath (PheCode 722.7),7,7,0,0,7,0
Growth factor receptor-bound protein 7 levels,7,7,0,0,7,0
EIF4G1 protein levels,7,7,0,0,7,0
DIABLO protein levels,7,7,0,0,7,0
Drug experimentation measurement,7,7,0,0,7,0
Sensation seeking,7,7,0,0,7,0
CLMP protein levels,7,7,0,0,7,0
CNST protein levels,7,7,0,0,7,0
CNP protein levels,7,7,0,0,7,0
EDAR/YES1 protein level ratio,7,7,0,0,7,0
Cerebrospinal fluid protein HCG22 levels,7,7,0,0,7,0
Cerebrospinal fluid protein SUMF2 levels,7,7,0,0,7,0
Diacylglycerol(34:2)_[M+H-H2O]1+ levels,7,0,7,0,7,7
ART3/RGMA protein level ratio,7,7,0,0,7,0
Hypertrophic cardiomyopathy (sarcomere-positive),7,0,7,0,7,7
"HLA class II histocompatibility antigen, DQ alpha 2 chain levels",7,7,0,0,7,0
Phosphatidylethanolamine (16:0_18:3) (a) levels,7,7,0,0,7,0
APRT/MIF protein level ratio,7,7,0,0,7,0
OTU99_45 (Faecalibacterium) prevalence,7,7,0,0,7,0
IDP dMRI TBSS L1 Genu of corpus callosum,7,7,0,0,7,0
Selenoprotein W levels,7,7,0,0,7,0
Sphingomyelin(34:0)_[M+H]1+ levels,7,0,7,0,7,7
Lysosomal protective protein levels,7,6,1,0,7,1
Corns and callosities (PheCode 700),7,7,0,0,7,0
CDKN1A/ENO2 protein level ratio,7,7,0,0,7,0
CDKN1A/FXN protein level ratio,7,7,0,0,7,0
IGKV1-8 protein levels,7,7,0,0,7,0
Lack of premeditation,7,7,0,0,7,0
Circulating FURIN levels,7,7,0,0,7,0
DFFA protein levels,7,7,0,0,7,0
AMOT protein levels,7,7,0,0,7,0
Triacylglycerol 54:7(FA20:5) (Model 1),7,7,0,0,7,0
Triacylglycerol 55:3(FA18:2) (Model 1),7,7,0,0,7,0
N6-acetyllysine levels,7,5,2,0,7,2
Serum levels of protein LRIG3,7,7,0,0,7,0
CELA3A/CPA1 protein level ratio,7,7,0,0,7,0
TOM1-like protein 2 levels,7,7,0,0,7,0
Phosphatidylethanolamine_39:4_[M-H]1- levels,7,0,7,0,7,7
Triacylglycerol 54:6(FA20:5) (Model 1),7,7,0,0,7,0
CELA3A/CPB1 protein level ratio,7,7,0,0,7,0
Sterol ester (27:1/18:3) levels,7,7,0,0,7,0
REG1A/REG3A protein level ratio,7,7,0,0,7,0
OGFR protein levels,7,7,0,0,7,0
Phosphatidylcholine (38:5) (a) levels,7,7,0,0,7,0
CELA3A/CTRB1 protein level ratio,7,7,0,0,7,0
GRAP2/YES1 protein level ratio,7,7,0,0,7,0
DCTD protein levels,7,7,0,0,7,0
Hexosylceramides (FA20:0) (Model 2),7,7,0,0,7,0
Phosphatidylinositol(36:4)_[M-H]1- levels,7,0,7,0,7,7
CDKN1A/TXLNA protein level ratio,7,7,0,0,7,0
Phosphatidylcholine (18:0_22:5) (n6) levels,7,7,0,0,7,0
ENO2/TXNDC5 protein level ratio,7,7,0,0,7,0
HEXIM1/MAVS protein level ratio,7,7,0,0,7,0
Glutaminyl-peptide cyclotransferase levels,7,7,0,0,7,0
Low affinity immunoglobulin gamma Fc region receptor II-b levels (FCGR2B.3310.62.1),7,7,0,0,7,0
N-acetylneuraminate levels,7,6,1,0,7,1
End stage renal disease (PheCode 585.32),7,7,0,0,7,0
Lower gastrointestinal congenital anomalies (PheCode 750.2),7,7,0,0,7,0
Waist Circumference - Triglycerides (WC-TG),7,7,0,0,7,0
S.aureus induced IL-1B level,7,7,0,0,7,0
Cigarettes smoked per day in Schizophrenia,7,7,0,0,7,0
MINK1 protein levels,7,7,0,0,7,0
Triacylglycerol 54:7(FA20:4) (Model 1),7,7,0,0,7,0
Glycosyl-N-behenoyl-sphingadienine (d18:2/22:0) levels,7,1,6,0,7,6
"Takes medication for Dementia (includes Alzheimer's, Vascular, etc.)?",7,7,0,0,7,0
Serum levels of protein NCMAP,7,7,0,0,7,0
Osmotic hemolysis of cold stored red blood cells,7,7,0,0,7,0
HbA1c levels x vegetarianism interaction,7,7,0,0,7,0
CD84/F2R protein level ratio,7,7,0,0,7,0
CD84/GP1BA protein level ratio,7,7,0,0,7,0
CD84/SDC4 protein level ratio,7,7,0,0,7,0
Triacylglycerol 52:5(FA20:4) (Model 2),7,7,0,0,7,0
Education attainment or attention deficit hyperactivity disorder,7,7,0,0,7,0
Voice pitch (median),7,7,0,0,7,0
3-(4-hydroxyphenyl)lactate levels,7,6,1,0,7,1
Osteoarthritis biomarkers,7,7,0,0,7,0
Eating disorder in bipolar disorder,7,7,0,0,7,0
Phosphatidylethanolamine (15-MHDA_18:1) levels,7,7,0,0,7,0
Cranial base width,7,7,0,0,7,0
Response to tofacitinib treatment (herpes zoster)(time to event),7,7,0,0,7,0
Response to tofacitinib treatment (herpes zoster),7,7,0,0,7,0
Triacylglycerol 52:6(FA20:4) (Model 2),7,7,0,0,7,0
Circulating CERT levels,7,7,0,0,7,0
"Osteoarthritis, localized (PheCode 740.1)",7,7,0,0,7,0
ADD1 protein levels,7,7,0,0,7,0
Education attainment or cannabis use disorder,7,7,0,0,7,0
rfMRI connectivity ICA-features 3,7,7,0,0,7,0
SH2B3/SUGT1 protein level ratio,7,7,0,0,7,0
SLC27A4 protein levels,7,7,0,0,7,0
Diacylglycerol(34:1)_[M+H-H2O]1+ levels,7,0,7,0,7,7
Alkylphosphatidylcholine (O-18:0/22:6) levels,7,7,0,0,7,0
Alkenylphosphatidylethanolamine (P-18:0/22:6) levels,7,7,0,0,7,0
Education attainment or autism spectrum disorders,7,7,0,0,7,0
Pancreatic triacylglycerol lipase levels,7,7,0,0,7,0
Triacylglycerol 54:3(FA20:1) (Model 2),7,7,0,0,7,0
Circulating AXIN1 levels,7,7,0,0,7,0
Circulating IL6 levels (id: OID00482_OID21276),7,7,0,0,7,0
SNX9/STK4 protein level ratio,7,7,0,0,7,0
Left eye retinal fundus image self-supervised embedding endophenotype 39,7,7,0,0,7,0
Juvenile osteochondritis dissecans,7,7,0,0,7,0
Rapidly progressive Alzheimer's disease (pathologically-confirmed vs typical) (case-control set 3),7,7,0,0,7,0
AGR2 protein levels,7,7,0,0,7,0
Leukocyte immunoglobulin-like receptor subfamily A member 4 levels,7,7,0,0,7,0
Accelerometer-based physical activity measurement (average acceleration),7,7,0,0,7,0
Platelet count variance,7,7,0,0,7,0
Sphingomyelin(44:9)_[M+H]1- levels,7,0,7,0,7,7
Lithostathine-1-alpha levels,7,7,0,0,7,0
Cardiogenic shock (PheCode 797.1),7,7,0,0,7,0
Alanine aminotransferase levels in low dose methotrexate treatment,7,7,0,0,7,0
Alkylphosphatidylcholine (O-16:0/20:3) levels,7,7,0,0,7,0
IDP dMRI ProbtrackX ISOVF ilf l,7,7,0,0,7,0
Precordial pain (PheCode 418.1),7,7,0,0,7,0
Lagophthalmos (PheCode 374.2),7,7,0,0,7,0
Cardiac arrest and ventricular (PheCode 427.4),7,7,0,0,7,0
Trihexosylcermide (d18:1/16:0) levels,7,7,0,0,7,0
Cornea replaced by transplant (PheCode 364.9),7,7,0,0,7,0
DNAJB14 protein levels,7,7,0,0,7,0
IgD- CD38dim B cell %lymphocyte,7,7,0,0,7,0
CA3/HMBS protein level ratio,7,7,0,0,7,0
SLC9A3R1 protein levels,7,7,0,0,7,0
SLC9A3R2 protein levels,7,7,0,0,7,0
SHISA5 protein levels,7,7,0,0,7,0
Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia,7,7,0,0,7,0
Lactase-phlorizin hydrolase levels,7,7,0,0,7,0
Cadherin-11 levels,7,7,0,0,7,0
GPHA2 protein levels,7,7,0,0,7,0
Hippocampal right HATA volume,7,7,0,0,7,0
Urine sulfate of piperine metabolite C18H21NO3 (2)* levels in chronic kidney disease,7,7,0,0,7,0
Vitamin K-dependent protein S levels,7,7,0,0,7,0
aseg global volume VentricleChoroid,7,7,0,0,7,0
aseg global volume 4th-Ventricle,7,7,0,0,7,0
Left eye retinal fundus image self-supervised embedding endophenotype 32,7,7,0,0,7,0
CA1/CA2 protein level ratio,7,7,0,0,7,0
Interleukin-5 receptor subunit alpha levels,7,6,1,0,7,1
Interleukin-6 receptor subunit alpha levels,7,2,5,0,7,5
Kallikrein-12 levels,7,5,2,0,7,2
Kallistatin levels,7,5,2,0,7,2
Plasma docosahexaenoic acid levels x fish oil supplement use interaction (1df),7,7,0,0,7,0
SMAD3 protein levels,7,7,0,0,7,0
Hemoglobin concentration variance,7,7,0,0,7,0
TestASV_38 (Ruminococcus) abundance,7,7,0,0,7,0
Partial epilepsies,7,7,0,0,7,0
Hypertriglyceridemia,7,7,0,0,7,0
Cognitive domain scores for executive function,7,7,0,0,7,0
Serum lipopolysaccharide activity,7,7,0,0,7,0
GDH/6PGL endoplasmic bifunctional protein levels (H6PD.7161.25.3),7,7,0,0,7,0
Left fimbria volume,7,7,0,0,7,0
X-24748 levels,7,7,0,0,7,0
Phosphatidylcholine diacyl C36:4 levels,7,7,0,0,7,0
Fc receptor-like protein 1 levels,7,7,0,0,7,0
IL6 expression at 6 weeks in whole blood upon LPS stimulation in Lyme borreliosis,7,7,0,0,7,0
Left eye retinal fundus image self-supervised embedding endophenotype 83,7,7,0,0,7,0
CA13/GRAP2 protein level ratio,7,7,0,0,7,0
EIF4G1/FOXO1 protein level ratio,7,7,0,0,7,0
EIF4G1/HEXIM1 protein level ratio,7,7,0,0,7,0
CHMP6 protein levels,7,7,0,0,7,0
Mean corpuscular hemoglobin concentration variance,7,7,0,0,7,0
SKAP2 protein levels,7,7,0,0,7,0
SLAMF6 protein levels,7,7,0,0,7,0
Cardiac MRI latent phenotype (Z29_S1),7,7,0,0,7,0
Cardiac MRI latent phenotype (Z86_S3),7,7,0,0,7,0
Triacylglycerol 52:4(FA18:3) (Model 1),7,7,0,0,7,0
Lymphokine-activated killer T-cell-originated protein kinase levels,7,7,0,0,7,0
CCL17/CCL22 protein level ratio,7,7,0,0,7,0
Circulating MAP2K6 levels,7,7,0,0,7,0
Shum Visual Learning Test (SVLT) Learning Index (SVLT LI),7,7,0,0,7,0
Thrombin levels,7,7,0,0,7,0
Circulating phylloquinone levels,7,7,0,0,7,0
Blond vs. brown hair color,7,7,0,0,7,0
Waist circumference and related phenotypes,7,0,7,0,7,7
Ectonucleoside triphosphate diphosphohydrolase 6 levels,7,7,0,0,7,0
Matrix metalloproteinase-9 levels,7,7,0,0,7,0
GIPC3 protein levels,7,7,0,0,7,0
GIT1 protein levels,7,7,0,0,7,0
Ceramide (d19:1/26:0) levels,7,7,0,0,7,0
CPA1/CTRB1 protein level ratio,7,7,0,0,7,0
Atherosclerosis of native arteries of the extremities with ulceration or gangrene (PheCode 440.21),7,7,0,0,7,0
Human milk oligosaccharide concentration (fucosyllacto-N-hexaose),7,3,4,0,7,4
